╰─$ /home/nicolas/anaconda3/envs/testenv/bin/python /home/nicolas/Documents/OptML_project/create_timing_graphs.py                                                1 ↵
[2020-05-24 13:20:27] [ INFO ] : Removing old files.. 
[2020-05-24 13:20:29] [ INFO ] : loaded model(s) and data 
[2020-05-24 13:20:29] [ INFO ] : Benchmarking with 10 particles 
[2020-05-24 13:20:41] [ INFO ] : Benchmarking with 11 particles 
[2020-05-24 13:20:53] [ INFO ] : Benchmarking with 12 particles 
[2020-05-24 13:21:06] [ INFO ] : Benchmarking with 13 particles 
[2020-05-24 13:21:20] [ INFO ] : Benchmarking with 14 particles 
[2020-05-24 13:21:35] [ INFO ] : Benchmarking with 15 particles 
[2020-05-24 13:21:51] [ INFO ] : Benchmarking with 16 particles 
[2020-05-24 13:22:08] [ INFO ] : Benchmarking with 17 particles 
[2020-05-24 13:22:26] [ INFO ] : Benchmarking with 18 particles 
[2020-05-24 13:22:45] [ INFO ] : Benchmarking with 19 particles 
[2020-05-24 13:23:06] [ INFO ] : Benchmarking with 20 particles 
[2020-05-24 13:23:27] [ INFO ] : Benchmarking with 21 particles 
[2020-05-24 13:23:49] [ INFO ] : Benchmarking with 22 particles 
[2020-05-24 13:24:12] [ INFO ] : Benchmarking with 23 particles 
[2020-05-24 13:24:37] [ INFO ] : Benchmarking with 24 particles 
[2020-05-24 13:25:02] [ INFO ] : Benchmarking with 25 particles 
[2020-05-24 13:25:28] [ INFO ] : Benchmarking with 26 particles 
[2020-05-24 13:25:56] [ INFO ] : Benchmarking with 27 particles 
[2020-05-24 13:26:24] [ INFO ] : Benchmarking with 28 particles 
[2020-05-24 13:26:53] [ INFO ] : Benchmarking with 29 particles 
[2020-05-24 13:27:24] [ INFO ] : Benchmarking with 30 particles 
[2020-05-24 13:27:56] [ INFO ] : Benchmarking with 31 particles 
[2020-05-24 13:28:28] [ INFO ] : Benchmarking with 32 particles 
[2020-05-24 13:29:01] [ INFO ] : Benchmarking with 33 particles 
[2020-05-24 13:29:38] [ INFO ] : Benchmarking with 34 particles 
[2020-05-24 13:30:17] [ INFO ] : Benchmarking with 35 particles 
[2020-05-24 13:30:53] [ INFO ] : Benchmarking with 36 particles 
[2020-05-24 13:31:29] [ INFO ] : Benchmarking with 37 particles 
[2020-05-24 13:32:06] [ INFO ] : Benchmarking with 38 particles 
[2020-05-24 13:32:44] [ INFO ] : Benchmarking with 39 particles 
[2020-05-24 13:33:23] [ INFO ] : Benchmarking with 40 particles 
[2020-05-24 13:34:18] [ INFO ] : Benchmarking with 41 particles 
[2020-05-24 13:35:06] [ INFO ] : Benchmarking with 42 particles 
[2020-05-24 13:36:04] [ INFO ] : Benchmarking with 43 particles 
[2020-05-24 13:36:53] [ INFO ] : Benchmarking with 44 particles 
[2020-05-24 13:37:44] [ INFO ] : Benchmarking with 45 particles 
[2020-05-24 13:38:32] [ INFO ] : Benchmarking with 46 particles 
[2020-05-24 13:39:24] [ INFO ] : Benchmarking with 47 particles 
[2020-05-24 13:40:17] [ INFO ] : Benchmarking with 48 particles 
[2020-05-24 13:41:15] [ INFO ] : Benchmarking with 49 particles 
[2020-05-24 13:42:10] [ INFO ] : mean time batch (10-50 particles): [0.004864752100183977, 0.005118238700015354, 0.005434590199729428, 0.005482865600242803, 0.006205736099764181, 0.006364794700311904, 0.007140919599987683, 0.006396454800051288, 0.006989839900052175, 0.006608041200161096, 0.007552776299962716, 0.007077102099901822, 0.009036323499822174, 0.008161298299819464, 0.009104024700172885, 0.008860897299928183, 0.008791812399613264, 0.010320399299598649, 0.00898055959969497, 0.009791297000083432, 0.009717741400527303, 0.010293921899574343, 0.010373469699879933, 0.009930048499882105, 0.010739259199726802, 0.01053057000026456, 0.01031094270038011, 0.01044331510001939, 0.01093080650007323, 0.011107479200290982, 0.016564551199917333, 0.01241496439997718, 0.021150390400180186, 0.013063833799787972, 0.014530999700036773, 0.015774839599725966, 0.013968699499855575, 0.015492642899334896, 0.017345098300211248, 0.013693787400188739] 
[2020-05-24 13:42:10] [ INFO ] : time sequential (10-50 particles): [0.029322144100115112, 0.031515222699999866, 0.03953151209989301, 0.04125273380032013, 0.04696497420027299, 0.046234696299688946, 0.048764488400047414, 0.0505892474002394, 0.054812556199976825, 0.056584502699843144, 0.060924090100343165, 0.0652776905999417, 0.06714816549992975, 0.069551662199774, 0.07157085219987494, 0.07524696080035938, 0.07910226669955592, 0.07987688690009236, 0.08396910680039582, 0.08987699539993628, 0.09229340799975035, 0.09553074480027135, 0.0995417438001823, 0.10180268050044106, 0.10192695139994612, 0.1018103811000401, 0.10468740119995346, 0.10763394840032561, 0.11040680459955184, 0.11397356919987942, 0.19350536559977627, 0.11970373920012208, 0.16670140050046028, 0.1345841157997711, 0.13766236449991992, 0.14278197449984872, 0.14425748489975376, 0.15092190279974602, 0.21789221129911313, 0.15633756819952396] 
