$ /home/nicolas/anaconda3/envs/testenv/bin/python /home/nicolas/Documents/OptML_project/create_success_graphs.py
[2020-05-24 14:14:13] [ INFO ] : Removing old files.. 
[2020-05-24 14:14:15] [ INFO ] : loaded model(s) and data 
[2020-05-24 14:14:15] [ INFO ] : Benchmarking with 10 particles 
[2020-05-24 14:14:26] [ INFO ] : Benchmarking with 11 particles 
[2020-05-24 14:14:37] [ INFO ] : Benchmarking with 12 particles 
[2020-05-24 14:14:48] [ INFO ] : Benchmarking with 13 particles 
[2020-05-24 14:14:59] [ INFO ] : Benchmarking with 14 particles 
[2020-05-24 14:15:09] [ INFO ] : Benchmarking with 15 particles 
[2020-05-24 14:15:20] [ INFO ] : Benchmarking with 16 particles 
[2020-05-24 14:15:31] [ INFO ] : Benchmarking with 17 particles 
[2020-05-24 14:15:42] [ INFO ] : Benchmarking with 18 particles 
[2020-05-24 14:15:53] [ INFO ] : Benchmarking with 19 particles 
[2020-05-24 14:16:05] [ INFO ] : Benchmarking with 20 particles 
[2020-05-24 14:16:16] [ INFO ] : Benchmarking with 21 particles 
[2020-05-24 14:16:28] [ INFO ] : Benchmarking with 22 particles 
[2020-05-24 14:16:40] [ INFO ] : Benchmarking with 23 particles 
[2020-05-24 14:16:53] [ INFO ] : Benchmarking with 24 particles 
[2020-05-24 14:17:06] [ INFO ] : Benchmarking with 25 particles 
[2020-05-24 14:17:19] [ INFO ] : Benchmarking with 26 particles 
[2020-05-24 14:17:31] [ INFO ] : Benchmarking with 27 particles 
[2020-05-24 14:17:47] [ INFO ] : Benchmarking with 28 particles 
[2020-05-24 14:18:01] [ INFO ] : Benchmarking with 29 particles 
[2020-05-24 14:18:17] [ INFO ] : Benchmarking with 30 particles 
[2020-05-24 14:18:32] [ INFO ] : Benchmarking with 31 particles 
[2020-05-24 14:18:47] [ INFO ] : Benchmarking with 32 particles 
[2020-05-24 14:19:03] [ INFO ] : Benchmarking with 33 particles 
[2020-05-24 14:19:16] [ INFO ] : Benchmarking with 34 particles 
[2020-05-24 14:19:31] [ INFO ] : Benchmarking with 35 particles 
[2020-05-24 14:19:47] [ INFO ] : Benchmarking with 36 particles 
[2020-05-24 14:20:04] [ INFO ] : Benchmarking with 37 particles 
[2020-05-24 14:20:21] [ INFO ] : Benchmarking with 38 particles 
[2020-05-24 14:20:37] [ INFO ] : Benchmarking with 39 particles 
[2020-05-24 14:20:53] [ INFO ] : Benchmarking with 40 particles 
[2020-05-24 14:21:10] [ INFO ] : Benchmarking with 41 particles 
[2020-05-24 14:21:24] [ INFO ] : Benchmarking with 42 particles 
[2020-05-24 14:21:43] [ INFO ] : Benchmarking with 43 particles 
[2020-05-24 14:22:02] [ INFO ] : Benchmarking with 44 particles 
[2020-05-24 14:22:21] [ INFO ] : Benchmarking with 45 particles 
[2020-05-24 14:22:38] [ INFO ] : Benchmarking with 46 particles 
